Chemical Name,Chemical ID,CAS RN,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
3-(indol-3-yl)propionic acid,C095446,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|IL1B|MPO|TNF,15.10,5
Cuprizone,D003471,370-81-0,Alzheimer Disease,MESH:D000544,,A2M|ACE|ACHE|ADAM10|APOC1|BCHE|BCL2|BDNF|CALM1|CD33|CHRNA7|CLU|CRH|HMOX1|IGF1|IGF1R|IGF2|IL1B|IQCK|MAOB|NCK2|PCDH11X|PICALM|PLCG2|PTK2B|PYY|TF|TNF|TPP1|TREM2,15.10,34
ginsenoside Rb1,C442759,,Alzheimer Disease,MESH:D000544,,CASP3|HMOX1|IGF1|IL1B|TNF,15.10,5
Glycyrrhetinic Acid,D006034,471-53-4,Alzheimer Disease,MESH:D000544,,BAX|BCL2|IL1B|MPO|TNF,15.10,5
verlukast,C059141,,Alzheimer Disease,MESH:D000544,,CASP3|ESR1|IL1B|MPO|TNF,15.10,5
Octreotide,D015282,83150-76-9,Alzheimer Disease,MESH:D000544,,BAX|CASP3|HMOX1|IGF1|INS|TNF|VEGFA,15.08,6
parthenolide,C002669,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|IL1B|TNF|VEGFA,15.07,4
tetrandrine,C009438,518-34-3,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|GSK3B|IL1B|TNF,15.07,5
isoscutellarein,C000722867,,Alzheimer Disease,MESH:D000544,,LEP|SLC2A4|TNF,15.06,3
Methiocarb,D008714,2032-65-7,Alzheimer Disease,MESH:D000544,,ACHE|BCHE|CYP2D6|ESR1,15.05,5
Serine,D012694,56-45-1,Alzheimer Disease,MESH:D000544,,APP|BAX|GSK3B|MAPT|TNF,15.02,44
pyrithione,C008704,1121-30-8,Alzheimer Disease,MESH:D000544,,CASP3|GSK3B|HMOX1|MAPT,15.01,11
tricetin,C469689,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|HMOX1|INPP5D,15.01,3
"1,4-naphthoquinone",C035342,130-15-4,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|CYP2D6|TNF,15.00,3
Sumatriptan,D018170,103628-46-2,Alzheimer Disease,MESH:D000544,,BDNF|CASP3|IDE|IL1B|LEP|TNF|VEGFA,15.00,6
"16,16-Dimethylprostaglandin E2",D015064,39746-25-3,Alzheimer Disease,MESH:D000544,,BAX|MPO|NOS3|TNF,14.99,6
Deoxycholic Acid,D003840,83-44-3,Alzheimer Disease,MESH:D000544,,ACHE|BAX|BCL2|CASP3|HMOX1|IGF1|IL1B|LEP|PPARG|SOD2|TNF,14.99,12
Fast Green FCF,C007704,2353-45-9,Alzheimer Disease,MESH:D000544,,APP|BDNF|IL1B|TNF,14.99,40
Magnesium,D008274,7439-95-4,Alzheimer Disease,MESH:D000544,,BCL2|GSK3B|IL1B|INS|INSR|TNF|VEGFA,14.99,9
Carbidopa,D002230,38821-49-7,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|IL1B|TNF,14.98,3
sanggenone C,C477157,80651-76-9,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|IL1B|TNF,14.98,3
"17-hydroxy-4,7,10,13,15,19-docosahexaenoic acid",C062894,90780-52-2,Alzheimer Disease,MESH:D000544,,IL1B|MPO|PPARG|TNF,14.97,7
atipamezole,C050701,,Alzheimer Disease,MESH:D000544,,BAX|CASP3|GSK3B|HMOX1,14.97,4
phytosphingosine,C012491,554-62-1,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|GSK3B,14.97,3
ZH-2 compound,C000625668,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|GSK3B,14.97,3
Grape Seed Proanthocyanidins,C511402,,Alzheimer Disease,MESH:D000544,,A2M|BAX|BCL2|CASP3|CCDC6|ENO1|HMOX1|IGF2R|IL1B|MS4A4A|PCDH11X|SLC30A6|SOD2|TNF,14.96,13
Methanol,D000432,67-56-1,Alzheimer Disease,MESH:D000544,,ACHE|ATP5F1A|ESR1|IL1B|MIR100|TNF,14.96,6
Porphyrins,D011166,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|SOD2,14.96,2
Anthraquinones,D000880,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|IGF1R|INSR|SLC2A4,14.94,3
Hyaluronic Acid,D006820,9004-61-9,Alzheimer Disease,MESH:D000544,,ATP5F1A|CASP3|ENO1|IL1B|MPO|PLAU|TNF|VEGFA,14.94,7
yu ping feng san,C506362,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|IL1B|TNF,14.94,3
caraway oil,C104525,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|TNF,14.93,2
cyprodinil,C108338,121552-61-2,Alzheimer Disease,MESH:D000544,,APP|BACE1|CASP3|ESR1|IL1B,14.92,41
scalaradial,C071197,53527-28-9,Alzheimer Disease,MESH:D000544,,IL1B|MPO|TNF,14.92,4
Emetine,D004640,483-18-1,Alzheimer Disease,MESH:D000544,,CASP3|ESR1|HMOX1|MAPT|VEGFA,14.91,11
3-dinitrobenzene,C017906,99-65-0,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|CYP46A1|F2|GAPDHS|HMOX1|NECTIN2|NOS3|TPI1,14.90,11
Antimony,D000965,7440-36-0,Alzheimer Disease,MESH:D000544,,A2M|BAX|BCL2|CASP3|HMOX1|PPARG|TNF,14.90,9
"benserazide, levodopa drug combination",C005177,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|BDNF|CASP3|IL1B,14.90,3
Perindopril,D020913,82834-16-0,Alzheimer Disease,MESH:D000544,,ACE|IL1B|LEP|PPARG|TNF|VEGFA,14.89,11
selenomethylselenocysteine,C002979,2574-71-2,Alzheimer Disease,MESH:D000544,,BCL2|CASP3|DHCR24|ESR1|HMOX1|IGF1R,14.89,5
astin B,C082414,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.88,1
bromotetrandrine,C514835,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.88,1
diffractaic acid,C093528,436-32-8,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.88,1
Everolimus,D000068338,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|IGF1R|NOS3|TNF,14.88,5
GSK 461364A,C544835,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.88,1
gyrophoric acid,C120727,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.88,1
Hemocyanins,D006433,9013-72-3,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.88,1
Hydrogels,D020100,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.88,1
polyethylene glycol loxenatide,C000601947,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.88,1
glycidamide,C071834,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|BDNF|CASP3|HMOX1|IGF2R|WWOX,14.87,5
"fructose-1,6-diphosphate",C029063,488-69-7,Alzheimer Disease,MESH:D000544,,APP|BAX|MAPT|PSEN1,14.86,49
ferric oxide,C000499,1309-37-1,Alzheimer Disease,MESH:D000544,,ACHE|BAX|BCL2|CASP3|HMOX1|IL1B|SOD2|TF|TNF,14.85,8
dihydrocapsaicin,C012906,19408-84-5,Alzheimer Disease,MESH:D000544,,CASP3|CYP2D6|EIF2S1|IGF1,14.84,4
Talc,D013627,14807-96-6,Alzheimer Disease,MESH:D000544,,CASP3|IL1B|TNF,14.84,3
Insecticides,D007306,,Alzheimer Disease,MESH:D000544,,ACHE|BCHE|BDNF|IL1B|PPARG|TNF,14.83,9
17 alpha-Hydroxyprogesterone Caproate,D000077713,,Alzheimer Disease,MESH:D000544,,ESR1|IL1B|INS|PPARG|TNF,14.81,7
malaoxon,C100082,,Alzheimer Disease,MESH:D000544,,ACHE|BCHE|BCL2|HMOX1,14.81,5
Thiostrepton,D013883,1393-48-2,Alzheimer Disease,MESH:D000544,,BAX|BCL2|EIF2S1|HMOX1|IL1B,14.81,4
tyloxapol,C016811,25301-02-4,Alzheimer Disease,MESH:D000544,,ACHE|BCHE|TNF|VEGFA,14.81,5
"2-(1-carboxy-2-(3-(3,5-dichlorobenzyl)-3H-imidazol-4-yl)ethylamino)-4-methylpentanoic acid",C486469,,Alzheimer Disease,MESH:D000544,,ACE|IL1B|MPO|TNF,14.80,8
Organometallic Compounds,D009942,,Alzheimer Disease,MESH:D000544,,CASP3|ESR1|GSK3B|HMOX1|IL1B,14.80,6
Cannabinoids,D002186,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CALM1|CASP3|CCDC6|HMOX1|IL1B|TNF|VEGFA,14.79,7
KT 5720,C057416,108068-98-0,Alzheimer Disease,MESH:D000544,,APP|CASP3|HMOX1|IL1B|TNF,14.79,41
Salmeterol Xinafoate,D000068299,,Alzheimer Disease,MESH:D000544,,BCL2|CASP3|IL1B|PPARG|TNF,14.79,6
benphothiamine,C013835,22457-89-2,Alzheimer Disease,MESH:D000544,,HMOX1|IL1B|MAPT|TNF,14.78,10
ceritinib,C586847,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|IGF1R,14.78,2
Lisinopril,D017706,83915-83-7,Alzheimer Disease,MESH:D000544,,ACE|ACHE|BCL2|CD2AP|MPO|VEGFA,14.78,14
stannous chloride,C023599,7772-99-8,Alzheimer Disease,MESH:D000544,,BCL2|ESR1|HMOX1|VEGFA,14.78,4
Vitamin U,D014814,,Alzheimer Disease,MESH:D000544,,ACHE|CASP3|IL1B|MPO,14.78,6
4-nitroaniline,C019498,100-01-6,Alzheimer Disease,MESH:D000544,,BCL2|CASP3|IL1B|MPO,14.76,4
"pregna-4,17-diene-3,16-dione",C023617,95975-55-6,Alzheimer Disease,MESH:D000544,,BCL2|CASP3|ESR1|IL1B|TNF|VEGFA,14.76,4
Leucine,D007930,61-90-5,Alzheimer Disease,MESH:D000544,,CASP3|IL1B|MPO|TNF,14.75,5
schizandrol B,C033585,58546-54-6,Alzheimer Disease,MESH:D000544,,ACHE|BCL2|IL1B|TNF,14.75,5
swertiamarin,C013270,17388-39-5,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|ESR1,14.75,2
homocastasterone,C070164,83509-42-6,Alzheimer Disease,MESH:D000544,,BCL2|CASP3|ESR1|TNF,14.74,2
Chloranil,D002703,118-75-2,Alzheimer Disease,MESH:D000544,,CASP3|HMOX1|IL1B|TNF,14.73,4
homoeriodictyol,C503231,,Alzheimer Disease,MESH:D000544,,BCL2|CASP3|IL1B|TNF,14.73,3
"N-(1,2,3,5,6,7-hexahydro-S-indacen-4-ylcarbamoyl)-4-(2-hydroxy-2-propanyl)-2-furansulfonamide",C000597426,,Alzheimer Disease,MESH:D000544,,GSK3B|IL1B|INS|MPO|TNF,14.72,8
Methylene Chloride,D008752,75-09-2,Alzheimer Disease,MESH:D000544,,BCL2|CASP3|DHCR24|ESR1|HMOX1|PRNP|SOD2|TNF,14.71,5
perfluoro-n-nonanoic acid,C101816,375-95-1,Alzheimer Disease,MESH:D000544,,A2M|ABCA7|ADAMTS1|APOC1|APOE|ARC|BAX|BCHE|BCL2|BDNF|BIN1|CASP3|CHRNB2|DHCR24|EPHA1|ESR1|F2|GSK3B|HFE|HMOX1|IGF1|IGF2|IL1B|NCK2|NECTIN2|NPY|PLAU|PPARG|PRNP|PSEN2|SOD2|SPRED2|TF|TNF|TREM2|VEGFA|VSNL1|WWOX,14.70,44
maleic acid,C030272,110-16-7,Alzheimer Disease,MESH:D000544,,ABCA7|CR1|HMOX1|IGF1|TNF,14.66,7
Cimetidine,D002927,51481-61-9,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|CST3|CYP2D6|HMOX1|IL1B|TNF,14.65,6
Methadone,D008691,76-99-3,Alzheimer Disease,MESH:D000544,,BAX|BCHE|CYP2D6|IL1B|INS|LEP|TNF,14.65,8
Eucalyptol,D000077591,470-82-6,Alzheimer Disease,MESH:D000544,,BCL2|CASP3|GSK3B|IL1B|LEP|TNF,14.64,6
imisopasem manganese,C121876,,Alzheimer Disease,MESH:D000544,,APOE|IL1B|SLC2A4|TNF,14.62,12
Povidone,D011205,,Alzheimer Disease,MESH:D000544,,APP|CASP3|HMOX1|SOD2|VEGFA,14.62,41
GGTI 298,C102521,,Alzheimer Disease,MESH:D000544,,IL1B|LEP|PPARG|SOD2,14.61,6
norcantharidin,C069741,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|EIF2S1|VEGFA,14.61,3
CA 074 methyl ester,C400541,,Alzheimer Disease,MESH:D000544,,BAX|CASP3|IL1B|TFAM,14.59,3
4-cresol,C032538,106-44-5,Alzheimer Disease,MESH:D000544,,CASP3|CYP2D6|HMOX1|IL1B|MPO|TNF,14.58,7
ginsenoside Rd,C049863,52705-93-8,Alzheimer Disease,MESH:D000544,,APP|BAX|BCL2|CASP3,14.57,38
syringin,C028305,118-34-3,Alzheimer Disease,MESH:D000544,,BAX|BCL2|MPO|TNF,14.57,4
Triazoles,D014230,,Alzheimer Disease,MESH:D000544,,ACHE|BAX|BCL2|CASP3,14.57,3
2-((2-morpholino)ethylthio)-5-ethoxybenzimidazole,C410924,,Alzheimer Disease,MESH:D000544,,CASP3|IL1B|MPO|TNF,14.56,5
5-iodo-3-(2-azetidinylmethoxy)pyridine,C426745,,Alzheimer Disease,MESH:D000544,,CHRNB2|GSK3B|MAPT,14.56,10
monascin,C517880,,Alzheimer Disease,MESH:D000544,,HMOX1|IL1B|PPARG|TNF,14.56,6
9-methoxycamptothecin,C025724,19685-10-0,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|TNF,14.54,2
butaprost,C048491,69648-38-0,Alzheimer Disease,MESH:D000544,,CASP3|HMOX1|IL1B|TNF,14.54,4
Limonene,D000077222,,Alzheimer Disease,MESH:D000544,,ACHE|BCL2|CALM1|HMOX1|NPY|TNF,14.53,7
cyclohexyl carbamic acid 3'-carbamoylbiphenyl-3-yl ester,C500528,,Alzheimer Disease,MESH:D000544,,CASP3|IL1B|PPARG|SLC2A4|TNF,14.52,7
2-methyl-4-isothiazolin-3-one,C011506,2682-20-4,Alzheimer Disease,MESH:D000544,,ADAMTS1|APOC1|ARC|BAX|BCL2|CASP3|CLU|HMOX1|IL1B|PPARG|RELN|TNF|TPI1|VEGFA,14.51,17
propylparaben,C006068,94-13-3,Alzheimer Disease,MESH:D000544,,ACHE|APOC1|BAX|BCL2|CASP3|DHCR24|ESR1|F2|LEP|PPARG|TNF,14.50,12
fenpyroximate,C415144,134098-61-6,Alzheimer Disease,MESH:D000544,,ACHE|BAX|BCL2|CASP3|HMOX1|IGF1R|NOS3|PTK2B|VEGFA,14.49,9
"Air Pollutants, Occupational",D000395,,Alzheimer Disease,MESH:D000544,,ABI3|ACE|CD2AP|HMOX1|IGF1R|IL1B|MIR146A|MIR708|NOS3|PPARG|PSEN1|SOD2|TNF|TREM2|VEGFA,14.47,36
NVP ADW742,C502355,,Alzheimer Disease,MESH:D000544,,IGF1|IGF1R|VEGFA,14.47,2
indolebutyric acid,C014612,133-32-4,Alzheimer Disease,MESH:D000544,,ACHE|BCHE|MPO,14.45,5
1-trifluoromethoxyphenyl-3-(1-propionylpiperidine-4-yl)urea,C581572,,Alzheimer Disease,MESH:D000544,,CASP3|EIF2S1|IL1B|PLAU|TNF,14.43,5
betanin,C020228,7659-95-2,Alzheimer Disease,MESH:D000544,,ACHE|BAX|BCHE|BCL2,14.43,4
osthol,C046627,484-12-8,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|CYP2D6|PPARG,14.43,5
dibenzoylmethane,C061481,120-46-7,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CLU|ESR1,14.42,5
"6,7-dimethyl-2-(2E)-3-(1-methyl-2-phenyl-1H-pyrrolo(2,3-b)pyridin-3-yl-prop-2-enoyl)-1,2,3,4-tetrahydroisoquinoline hydrochloride",C508504,,Alzheimer Disease,MESH:D000544,,CASP3|CST3|HMOX1|TNF,14.41,4
Erlotinib Hydrochloride,D000069347,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|EIF2S1|ESR1|GSK3B|IL1B,14.40,6
isoquercitrin,C016527,21637-25-2,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|HMOX1|IL1B|TNF,14.40,4
"5,7-dimethoxyflavone",C060298,21392-57-4,Alzheimer Disease,MESH:D000544,,BAX|CASP3|GSK3B|IL1B,14.39,4
EUK-134,C433928,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|MPO,14.39,3
gambogic acid,C052659,2752-65-0,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|GSK3B,14.39,3
ginsenoside Rg5,C572381,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|NOS3,14.39,3
trimellitic anhydride,C015559,552-30-7,Alzheimer Disease,MESH:D000544,,APOE|APP|CASP3|DHCR24|EIF2S1|ENO1|ESR1|F2|IDE|IGF2|IL1B|MAOB|NOS3|PLAU|PYY|RELN|TNF|TOMM40|TPI1|VEGFA|VSNL1,14.39,61
beraprost,C048081,88430-50-6,Alzheimer Disease,MESH:D000544,,CASP3|HMOX1|MPO|TNF,14.38,5
rubitecan,C079905,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|ESR1,14.38,2
Ubiquinone,D014451,1339-63-5,Alzheimer Disease,MESH:D000544,,CASP3|IL1B|NOS3|TNF,14.38,5
anthracene,C034020,120-12-7,Alzheimer Disease,MESH:D000544,,BAX|CASP3|ESR1|TNF,14.37,2
bavachinin,C468752,,Alzheimer Disease,MESH:D000544,,BCL2|IL1B|PPARG|TNF,14.37,6
N-((3-(aminomethyl)phenyl)methyl)ethanimidamide,C496401,,Alzheimer Disease,MESH:D000544,,BCL2|HMOX1|IL1B|TNF,14.36,4
lactacystin,C067713,133343-34-7,Alzheimer Disease,MESH:D000544,,APP|BCL2|CASP3|HMOX1|IL1B|TNF,14.35,41
acadesine,C011651,2627-69-2,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|PPARG|TFAM,14.34,5
Cotinine,D003367,486-56-6,Alzheimer Disease,MESH:D000544,,CASP3|CHRNA7|IL1B|SOD2|TNF,14.34,5
Aminolevulinic Acid,D000622,106-60-5,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|HMOX1|SOD2,14.33,3
ethylbenzene,C004912,100-41-4,Alzheimer Disease,MESH:D000544,,ACE|ACHE|BAX|BCL2|CASP3|HMOX1|PRNP,14.33,9
Formaldehyde,D005557,50-00-0,Alzheimer Disease,MESH:D000544,,ACE|ARC|BAX|BCHE|BCL2|BDNF|CALM1|CASP3|CLU|CRH|CST3|DHCR24|ESR1|GSK3B|HMOX1|IGF1R|IL1B|INPP5D|MAPT|MIR100|MPO|NOS3|PILRA|PRNP|SOD2|SPRED2|TFAM|TNF|TPP1|VEGFA|WWOX,14.30,37
perflexane,C078626,,Alzheimer Disease,MESH:D000544,,HMOX1|MPO|TNF,14.30,4
tariquidar,C402343,206873-63-4,Alzheimer Disease,MESH:D000544,,ACHE|BAX|BCL2,14.30,3
chikusetsusaponin V,C588229,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|SOD2,14.29,2
Risperidone,D018967,106266-06-2,Alzheimer Disease,MESH:D000544,,BDNF|CASP3|CRH|CYP2D6|GSK3B|INS|MAOB|PPARG,14.28,13
timosaponin AIII,C543146,,Alzheimer Disease,MESH:D000544,,ACHE|IL1B|TNF,14.27,4
captax,C005563,149-30-4,Alzheimer Disease,MESH:D000544,,HMOX1|IL1B|MIR146A|TNF|VEGFA,14.26,6
diallyl phthalate,C049098,131-17-9,Alzheimer Disease,MESH:D000544,,ACHE|ESR1|PPARG|SOD2,14.26,7
tetralin,C095210,119-64-2,Alzheimer Disease,MESH:D000544,,ESR1|IL1B|TNF,14.26,2
cobalt oxide,C060728,11104-61-3,Alzheimer Disease,MESH:D000544,,BCL2|CASP3|HFE|HMOX1|TNF,14.25,5
Triacetin,D014215,102-76-1,Alzheimer Disease,MESH:D000544,,BCL2|CASP3|HMOX1,14.24,2
(2-isopropyl-5-methylcyclohexyl) diphenylphosphine oxide,C507236,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.23,1
"4-(4-bromophenyl)-2,3-dihydro-N,3-bis(3,4,5-trimethoxyphenyl)-2-oxoidmi-dazole-1-carboxamide",C517487,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.23,1
"9-oxo-10,11-dehydroagerophorone",C098165,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.23,1
alborixin,C012708,57760-36-8,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.23,1
brassinin,C089020,105748-59-2,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.23,1
bucidarasin A,C456402,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.23,1
cajanol,C471767,61020-70-0,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.23,1
calcium magnesium carbonate,C028042,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.23,1
chrysophsin,C472594,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.23,1
CIGB-552 peptide,C000598873,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.23,1
Dendroaspis natriuretic peptide,C075597,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.23,1
dideoxypetrosynol A,C499970,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.23,1
galbanic acid,C048972,3566-55-0,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.23,1
glucosamine 6-O-sulfate,C046905,91674-26-9,Alzheimer Disease,MESH:D000544,,IL1B|LEP|PPARG|TNF,14.23,6
grifolin,C058858,6379-55-1,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.23,1
N-benzoyl-12-nitrodehydroabietylamine-7-one,C576077,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.23,1
nickel ferrite,C550717,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.23,1
SM-1 compound,C000619853,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.23,1
thiosulfinic acids,C100040,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.23,1
THJ-2201,C000628091,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.23,1
yangzheng xiaoji,C579032,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3,14.23,1
Magnesium Oxide,D008277,1309-48-4,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|INS,14.22,3
"3-(5-(4-(cyclopentyloxy)-2-hydroxybenzoyl)-2-((3-hydroxy-1,2-benzisoxazol-6-yl)methoxy)phenyl)propionic acid",C568912,,Alzheimer Disease,MESH:D000544,,BCL2|CASP3|IL1B|MPO,14.21,4
Hydrochloric Acid,D006851,7647-01-0,Alzheimer Disease,MESH:D000544,,CASP3|HMOX1|IL1B|MPO|NOS3|SOD2|TNF,14.21,9
Flavanones,D044950,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|VEGFA,14.20,2
Hydrazones,D006835,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|PPARG,14.20,4
ammonium molybdate,C022175,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|IL1B,14.19,2
dehydroxymethylepoxyquinomicin,C464444,,Alzheimer Disease,MESH:D000544,,CASP3|IL1B|TNF|VEGFA,14.19,4
protocatechuic acid methyl ester,C531013,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|HMOX1,14.19,2
alogliptin,C520853,,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|TNF,14.18,2
Eicosanoids,D015777,,Alzheimer Disease,MESH:D000544,,BCL2|CASP3|IL1B|TNF,14.18,3
Nandrolone Decanoate,D000077603,360-70-3,Alzheimer Disease,MESH:D000544,,ACE|CASP3|CST3|ESR1|TNF,14.18,7
"(4-(((2-(3-fluoro-4-(trifluoromethyl)phenyl)-4-methyl-1,3-thiazol-5-yl)methyl)sulfanyl)-2-methylphenoxy)acetic acid",C479979,,Alzheimer Disease,MESH:D000544,,CASP3|HMOX1|IL1B|NOS3|TNF,14.15,6
CEP-11004,C469298,,Alzheimer Disease,MESH:D000544,,APP|BACE1|PLAU|TNF,14.14,39
Halogenated Diphenyl Ethers,D055768,,Alzheimer Disease,MESH:D000544,,DPYSL2|ESR1|HMOX1|IL1B|PPARG|SOD2,14.14,7
quinoxyfen,C470613,,Alzheimer Disease,MESH:D000544,,BCL2|INS|PPARG|TF,14.12,8
Theophylline,D013806,58-55-9,Alzheimer Disease,MESH:D000544,,BCL2|CASP3|CD33|CLU|GSK3B|IL1B|MPO|NCK2|PICALM|PPARG|TNF|WWOX,14.11,16
2-(4-(2-carboxyethyl)phenethylamino)-5'-N-ethylcarboxamidoadenosine,C061282,120225-54-9,Alzheimer Disease,MESH:D000544,,BDNF|LEP|NOS3|TNF|VEGFA,14.10,6
pyrazole,C031280,288-13-1,Alzheimer Disease,MESH:D000544,,BAX|BCL2|ESR1|HMOX1|IL1B|PPARG|SOD2|TNF,14.10,8
Flufenamic Acid,D005439,530-78-9,Alzheimer Disease,MESH:D000544,,CASP3|CHRNB2|LEP|PPARG|TNF,14.09,6
Silicon Dioxide,D012822,7631-86-9,Alzheimer Disease,MESH:D000544,,A2M|ACE|ADAMTS1|APH1B|APOC1|APP|ARC|ATP5F1A|BAX|BCHE|BCL2|CASP3|CASS4|CD33|CLU|CRH|DHCR24|DPYSL2|ENO1|F2|GSK3B|HFE|HMOX1|IGF1|IGF2|IL1B|INPP5D|LEP|MAOB|MAPT|MIR146A|MPO|NPY|PLAU|PLCG2|PPARG|PRNP|PSEN1|PTK2B|RELN|SLC2A4|SOD2|TF|TFAM|TNF|TOMM40|TPI1|TPP1|TREM2|VEGFA|VSNL1|WWOX,14.09,90
Gadolinium,D005682,7440-54-2,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|IL1B|TFAM,14.08,3
tin mesoporphyrin,C055421,106344-20-1,Alzheimer Disease,MESH:D000544,,HMOX1|NOS3|TNF|VEGFA,14.06,5
Glyceraldehyde 3-Phosphate,D005986,142-10-9,Alzheimer Disease,MESH:D000544,,APP|MAPT|PSEN1,14.04,48
selenocystine,C009226,1464-43-3,Alzheimer Disease,MESH:D000544,,BAX|BCL2|CASP3|SOD2,14.04,2
Polycyclic Aromatic Hydrocarbons,D011084,,Alzheimer Disease,MESH:D000544,,BCL2|CALM1|CASP3|CST3|DPYSL2|ESR1|HMOX1|IGF1R|IL1B|MAOB|NCSTN|NECTIN2|NOS3|PLAU|PPARG|SOD2|TNF,14.03,19
Pregabalin,D000069583,,Alzheimer Disease,MESH:D000544,,ACE|APP|CASP3|PSEN1|TNF,14.02,50
melamine,C011907,108-78-1,Alzheimer Disease,MESH:D000544,,A2M|BAX|BCL2|CASP3|CLU,14.01,7
orientin,C065886,,Alzheimer Disease,MESH:D000544,,INSR|PPARG|SLC2A4,14.00,4
ginger extract,C000713927,,Alzheimer Disease,MESH:D000544,,APOE|BAX|CASP3|F2|HFE|IGF2|PICALM|SOD2,13.99,16
Riluzole,D019782,1744-22-5,Alzheimer Disease,MESH:D000544,,BCL2|CASP3|MAOB|TNF|VEGFA,13.99,5
