Chemical Name,Chemical ID,CAS RN,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
bisphenol A glucuronide,C512161,,Alzheimer Disease,MESH:D000544,,PPARG,3.48,3
Bongkrekic Acid,D001865,11076-19-0,Alzheimer Disease,MESH:D000544,,PPARG,3.48,3
chiglitazar,C515629,,Alzheimer Disease,MESH:D000544,,PPARG,3.48,3
loxoprofen,C040656,68767-14-6,Alzheimer Disease,MESH:D000544,,MPO,3.48,2
Caffeine,D002110,58-08-2,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,3.48,1
Caffeine,D002110,58-08-2,Alzheimer disease type 2,MESH:C536595,,APOE,3.48,1
epoxiconazole,C109476,,Alzheimer disease type 2,MESH:C536595,,APOE,3.48,1
Caffeine,D002110,58-08-2,Alzheimer disease type 4,MESH:C536596,,APOE,3.48,1
"2-(2,6-diisopropylphenyl)-5-hydroxy-1H-isoindole-1,3-dione",C501339,,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
"2,2'-dipyridyl disulfide",C001105,2127-03-9,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
"2,4-diaminobutyric acid",C005959,305-62-4,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
"2-methoxy-3-O-sulfamoyl-17-cyanomethylestra-1,3,5(10)-triene",C526437,,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
2-methylcyclopentadienyl manganese tricarbonyl,C009907,12108-13-3,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
2-n-octyl-4-isothiazolin-3-one,C035331,26530-20-1,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
3-O-caffeoyl-1-methylquinic acid,C490257,,Alzheimer Disease,MESH:D000544,,HMOX1,3.47,1
"5-(3,4,5-trimethoxybenzoyl)-4-methyl-2-(p-tolyl)imidazole",C000622812,,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
"6-iodo-5-hydroxy-eicosatrienoic acid, delta-lactone",C026915,,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
aeroplysinin I,C042151,28656-91-9,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
archazolid B,C519728,,Alzheimer Disease,MESH:D000544,,DHCR24,3.47,1
ARV-825,C000606252,,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
carboxyamido-triazole,C062058,,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
Cilastatin,D015377,82009-34-5,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
"epinecidin-1, Epinephelus coioides",C521392,,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
epothilone A,C093787,,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
euscaphic acid,C007695,53155-25-2,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
gibberellic acid,C007842,77-06-5,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
HCV 796,C539481,,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
heyneanol A,C482862,,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
L-161982,C508711,,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
lamellarin D,C455554,,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
LM-1685,C501175,,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
N-(4-aminobutyl)-5-chloro-2-naphthalenesulfonamide,C033772,81705-04-6,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
N-acetyl-S-(alpha-methyl-4-(2-methylpropyl)benzeneacetyl)cysteine 4-(nitrooxy)butyl ester,C488176,,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
nevadensin,C023982,10176-66-6,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
peonidin 3-glucoside,C480521,,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
Pulsatilla saponin A,C000588664,,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
sinularin,C574383,,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
tormentic acid,C000707859,,Alzheimer Disease,MESH:D000544,,CASP3,3.47,1
XL147,C581157,,Alzheimer Disease,MESH:D000544,,A2M|IL1B|NPY,3.47,5
Flutamide,D005485,13311-84-7,Alzheimer disease type 2,MESH:C536595,,APOE,3.47,1
alpha-terpineol,C016775,98-55-5,Alzheimer Disease,MESH:D000544,,ESR1,3.46,1
Cesium,D002586,7440-46-2,Alzheimer Disease,MESH:D000544,,APP,3.46,37
Cyclohexanols,D003511,,Alzheimer Disease,MESH:D000544,,BAX,3.46,1
Dienestrol,D004028,84-17-3,Alzheimer Disease,MESH:D000544,,ESR1,3.46,1
Enzyme Activators,D020536,,Alzheimer Disease,MESH:D000544,,BAX,3.46,1
gold (III) porphyrin 1a,C508665,,Alzheimer Disease,MESH:D000544,,A2M,3.46,3
heptylparaben,C481602,,Alzheimer Disease,MESH:D000544,,ESR1,3.46,1
INCB054329,C000627927,,Alzheimer Disease,MESH:D000544,,BAX,3.46,1
Organogold Compounds,D050607,,Alzheimer Disease,MESH:D000544,,BAX,3.46,1
Genistein,D019833,446-72-0,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,3.46,1
Genistein,D019833,446-72-0,Alzheimer disease type 2,MESH:C536595,,APOE,3.46,1
"1-(4-(1,1-dimethylheptyl)-2,6-dimethoxyphenyl)-3-methylcyclohexanol",C531961,,Alzheimer Disease,MESH:D000544,,TNF,3.45,1
1-naphthaleneacetic acid,C034182,86-87-3,Alzheimer Disease,MESH:D000544,,TNF,3.45,1
"2,7-dioxo-2,7-dihydro-3H-naphtho(1,2,3-de)quinoline-1-carboxylate",C000592751,,Alzheimer Disease,MESH:D000544,,TNF,3.45,1
2-hydroxyethyl acrylate,C035957,818-61-1,Alzheimer Disease,MESH:D000544,,TNF,3.45,1
4-bromophenacyl bromide,C006821,99-73-0,Alzheimer Disease,MESH:D000544,,TNF,3.45,1
5-benzylacyclouridine,C034753,82857-69-0,Alzheimer Disease,MESH:D000544,,TNF,3.45,1
"8-((4-chlorophenyl)thio)cyclic-3',5'-GMP",C055656,54364-02-2,Alzheimer Disease,MESH:D000544,,PPARG,3.45,3
"8-(4-chlorophenylthio)guanosine 3',5'-cyclic monophosphorothioate",C090860,,Alzheimer Disease,MESH:D000544,,PPARG,3.45,3
Aminosalicylic Acid,D010131,65-49-6,Alzheimer Disease,MESH:D000544,,MPO,3.45,2
Aroclors,D001140,,Alzheimer Disease,MESH:D000544,,APH1B|PPARG|TFAM,3.45,5
ascofuranone,C006640,,Alzheimer Disease,MESH:D000544,,TNF,3.45,1
benzidine,C029876,92-87-5,Alzheimer Disease,MESH:D000544,,MPO,3.45,2
bolinaquinone,C500927,,Alzheimer Disease,MESH:D000544,,TNF,3.45,1
cacospongionolide B,C098384,,Alzheimer Disease,MESH:D000544,,TNF,3.45,1
Citrulline,D002956,372-75-8,Alzheimer Disease,MESH:D000544,,SLC2A4,3.45,1
cyclic guanosine monophosphate-adenosine monophosphate,C584311,,Alzheimer Disease,MESH:D000544,,TNF,3.45,1
fluorotelomer phosphate diesters,C000720073,,Alzheimer Disease,MESH:D000544,,PPARG,3.45,3
Fructosamine,D019270,4429-04-3,Alzheimer Disease,MESH:D000544,,TNF,3.45,1
heclin,C000712650,,Alzheimer Disease,MESH:D000544,,TNF,3.45,1
irosustat,C520511,,Alzheimer Disease,MESH:D000544,,TNF,3.45,1
kamebakaurin,C047382,73981-34-7,Alzheimer Disease,MESH:D000544,,TNF,3.45,1
