drug_name,protein_target,inference_score
5-Methoxypsoralen,CASP3,31.13
5-Methoxypsoralen,GSK3B,31.13
5-Methoxypsoralen,IL1B,31.13
5-Methoxypsoralen,MAPT,31.13
5-Methoxypsoralen,NOS3,31.13
5-Methoxypsoralen,TNF,31.13
Paroxetine,APP,30.97
Paroxetine,ARC,30.97
Paroxetine,BAX,30.97
Paroxetine,BCL2,30.97
Paroxetine,BDNF,30.97
Paroxetine,CASP3,30.97
Paroxetine,CYP2D6,30.97
Paroxetine,HMOX1,30.97
Paroxetine,IL1B,30.97
Paroxetine,INS,30.97
Paroxetine,SOD2,30.97
Paroxetine,TNF,30.97
Paroxetine,VEGFA,30.97
Indomethacin,A2M,30.83
Indomethacin,ABI3,30.83
Indomethacin,ACE,30.83
Indomethacin,ACHE,30.83
Indomethacin,ADAM10,30.83
Indomethacin,ADAMTS1,30.83
Indomethacin,APOC1,30.83
Indomethacin,APOE,30.83
Indomethacin,APP,30.83
Indomethacin,ATP5F1A,30.83
Indomethacin,BACE1,30.83
Indomethacin,BAX,30.83
Indomethacin,BCHE,30.83
Indomethacin,BCL2,30.83
Indomethacin,CASP3,30.83
Indomethacin,CRH,30.83
Indomethacin,CST3,30.83
Indomethacin,DHCR24,30.83
Indomethacin,ENO1,30.83
Indomethacin,F2,30.83
Indomethacin,GAPDHS,30.83
Indomethacin,GSK3B,30.83
Indomethacin,HFE,30.83
Indomethacin,HMOX1,30.83
Indomethacin,IGF1,30.83
Indomethacin,IGF1R,30.83
Indomethacin,IGF2,30.83
Indomethacin,IL1B,30.83
Indomethacin,INS,30.83
Indomethacin,INSR,30.83
Indomethacin,IQCK,30.83
Indomethacin,LEP,30.83
Indomethacin,MAOB,30.83
Indomethacin,MPO,30.83
Indomethacin,NCSTN,30.83
Indomethacin,NOS3,30.83
Indomethacin,NPY,30.83
Indomethacin,PICALM,30.83
Indomethacin,PILRA,30.83
Indomethacin,PLAU,30.83
Indomethacin,PPARG,30.83
Indomethacin,SLC2A4,30.83
Indomethacin,SOD2,30.83
Indomethacin,TF,30.83
Indomethacin,TFAM,30.83
Indomethacin,TNF,30.83
Indomethacin,TPI1,30.83
Indomethacin,TPP1,30.83
Indomethacin,VEGFA,30.83
Indomethacin,WWOX,30.83
Niacin,ACE,30.42
Niacin,ACHE,30.42
Niacin,BDNF,30.42
Niacin,CASP3,30.42
Niacin,HMOX1,30.42
Niacin,IL1B,30.42
Niacin,LEP,30.42
Niacin,MPO,30.42
Niacin,NOS3,30.42
Niacin,PPARG,30.42
Niacin,SLC2A4,30.42
Niacin,SOD2,30.42
Niacin,TNF,30.42
Niacin,VEGFA,30.42
Trichlorfon,A2M,30.07
Trichlorfon,ACHE,30.07
Trichlorfon,APP,30.07
Trichlorfon,BCHE,30.07
Trichlorfon,BCL2,30.07
Trichlorfon,CASP3,30.07
Trichlorfon,IL1B,30.07
Trichlorfon,SOD2,30.07
Trichlorfon,TNF,30.07
Cannabidiol,ACE,29.95
Cannabidiol,APP,29.95
Cannabidiol,ATP5F1A,29.95
Cannabidiol,BACE1,29.95
Cannabidiol,BAX,29.95
Cannabidiol,BCL2,29.95
Cannabidiol,BDNF,29.95
Cannabidiol,CASP3,29.95
Cannabidiol,CD33,29.95
Cannabidiol,CHRNA7,29.95
Cannabidiol,CLU,29.95
Cannabidiol,CRH,29.95
Cannabidiol,CYP2D6,29.95
Cannabidiol,ESR1,29.95
Cannabidiol,GSK3B,29.95
Cannabidiol,HMOX1,29.95
Cannabidiol,IDE,29.95
Cannabidiol,IL1B,29.95
Cannabidiol,INPP5D,29.95
Cannabidiol,LEP,29.95
Cannabidiol,MAOB,29.95
Cannabidiol,MAPT,29.95
Cannabidiol,MPO,29.95
Cannabidiol,NCSTN,29.95
Cannabidiol,NPY,29.95
Cannabidiol,PPARG,29.95
